Source:,bs4_data_python,,,,,,,,,,,,Legend:,< Min Count
Weighted By:,LENGTH,,,,,,,,,,,,,< Min Value
Condition:,$v > 0,,,,,,,,,,,,,Marginal
,,,,,,,,,,,,,,Out Of Range
,,,,,,,,,,,,,,High Values
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
dm (12),Number Of Samples,4854,4825,4825,4825,4825,4825,4825,4769,4825,4825,4825,4825,2924
dm (12),Minimum,1.00,40.94,0.62,0.59,0.010,0.01,0.88,0.001,0.02,0.01,0.01,98.27,0.001
dm (12),Maximum,4.00,67.21,30.20,16.90,0.256,2.75,13.84,0.918,7.33,4.04,6.30,102.61,3.410
dm (12),Range,3.00,26.27,29.58,16.31,0.246,2.75,12.96,0.917,7.31,4.04,6.30,4.34,3.409
dm (12),Mean,1.99,55.87,7.37,5.39,0.062,0.05,6.03,0.028,0.61,0.14,0.14,99.95,0.956
dm (12),Standard Deviation,0.11,3.75,3.51,2.27,0.025,0.09,3.15,0.030,0.42,0.16,0.33,0.29,0.412
dm (12),Variance,0.01,14.07,12.32,5.13,0.001,0.01,9.93,0.001,0.17,0.03,0.11,0.09,0.170
dm (12),Coef. Of Variance,0.05,0.07,0.48,0.42,0.411,1.93,0.52,1.061,0.68,1.19,2.31,0.00,0.431
dm (12),Skewness,-1.08,0.25,0.63,0.30,1.177,11.79,0.56,11.203,4.61,7.90,8.68,-0.09,1.024
dm (12),Median,2.00,55.55,6.99,5.31,0.057,0.03,5.09,0.021,0.56,0.10,0.08,99.99,0.890
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j6 (202),Number Of Samples,8139,8103,8103,8103,8103,8103,8103,8021,8103,8103,8103,8103,2882
j6 (202),Minimum,0.10,20.28,0.47,0.38,0.033,0.01,0.25,0.001,0.01,0.01,0.01,97.82,0.150
j6 (202),Maximum,4.00,67.87,36.70,27.67,1.040,2.12,12.89,1.310,4.10,1.30,3.01,102.83,7.510
j6 (202),Range,3.90,47.59,36.23,27.29,1.007,2.12,12.64,1.309,4.10,1.30,3.01,5.01,7.360
j6 (202),Mean,1.99,62.43,3.15,2.04,0.148,0.02,5.07,0.014,0.08,0.06,0.04,100.15,0.510
j6 (202),Standard Deviation,0.08,3.23,2.72,1.40,0.046,0.03,2.00,0.023,0.15,0.06,0.10,0.36,0.368
j6 (202),Variance,0.01,10.45,7.40,1.95,0.002,0.00,4.00,0.001,0.02,0.00,0.01,0.13,0.135
j6 (202),Coef. Of Variance,0.04,0.05,0.86,0.68,0.308,2.06,0.39,1.667,1.93,0.92,2.60,0.00,0.722
j6 (202),Skewness,-6.71,-3.02,3.59,5.18,2.839,37.22,1.13,23.869,12.65,7.11,15.55,0.24,5.565
j6 (202),Median,2.00,63.19,2.35,1.71,0.145,0.01,4.59,0.008,0.04,0.05,0.02,100.07,0.415
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j5 (212),Number Of Samples,2174,2171,2171,2171,2168,2171,2171,2164,2171,2171,2166,2171,437
j5 (212),Minimum,0.10,26.91,0.57,0.62,0.049,0.01,2.12,0.001,0.02,0.01,0.01,98.05,0.180
j5 (212),Maximum,2.00,66.68,33.18,29.79,0.919,5.90,20.32,2.040,1.53,1.42,2.48,104.20,3.070
j5 (212),Range,1.90,39.77,32.61,29.17,0.870,5.90,18.20,2.039,1.51,1.42,2.48,6.15,2.890
j5 (212),Mean,2.00,59.22,4.61,4.01,0.167,0.03,6.01,0.025,0.11,0.07,0.05,100.09,0.857
j5 (212),Standard Deviation,0.05,3.69,2.90,2.00,0.050,0.16,1.56,0.053,0.08,0.07,0.11,0.42,0.431
j5 (212),Variance,0.00,13.64,8.41,3.99,0.003,0.02,2.44,0.003,0.01,0.01,0.01,0.18,0.186
j5 (212),Coef. Of Variance,0.03,0.06,0.63,0.50,0.302,4.99,0.26,2.173,0.72,1.00,2.27,0.00,0.503
j5 (212),Skewness,-20.02,-2.00,2.15,2.65,3.952,28.92,1.65,25.759,7.18,5.47,15.01,0.51,1.317
j5 (212),Median,2.00,59.94,4.07,3.62,0.165,0.02,5.78,0.012,0.10,0.06,0.03,100.03,0.790
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j4 (222),Number Of Samples,2509,2506,2506,2506,2505,2506,2506,2492,2506,2506,2506,2506,597
j4 (222),Minimum,1.00,17.16,0.51,0.56,0.028,0.01,1.38,0.001,0.01,0.01,0.01,98.62,0.180
j4 (222),Maximum,2.00,66.56,30.60,29.65,0.363,1.32,12.90,0.672,1.77,0.66,0.95,101.72,8.590
j4 (222),Range,1.00,49.40,30.09,29.09,0.335,1.32,11.52,0.671,1.77,0.66,0.95,3.10,8.410
j4 (222),Mean,1.99,62.85,2.84,2.26,0.161,0.03,4.53,0.016,0.05,0.07,0.04,100.17,0.577
j4 (222),Standard Deviation,0.08,2.72,2.30,1.31,0.036,0.05,1.21,0.026,0.06,0.06,0.05,0.39,0.446
j4 (222),Variance,0.01,7.40,5.29,1.71,0.001,0.00,1.45,0.001,0.00,0.00,0.00,0.15,0.199
j4 (222),Coef. Of Variance,0.04,0.04,0.81,0.58,0.221,1.86,0.27,1.649,1.21,0.87,1.27,0.00,0.772
j4 (222),Skewness,-11.81,-4.22,3.48,6.42,0.318,14.57,2.02,9.831,15.15,3.50,6.59,0.17,10.422
j4 (222),Median,2.00,63.47,2.21,1.95,0.160,0.02,4.29,0.008,0.04,0.06,0.03,100.12,0.470
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
j3 (232),Number Of Samples,9124,9099,9099,9099,9099,9099,9099,8996,9099,9099,9099,9099,3071
